Date,Close,Volume,Average,,,,,,,,,,
06/03/2017, $62.76 ,"930,831",62.76,,,,,,,,,,
07/03/2017, $62.61 ,"1,061,519",62.685,,,,,,,,,,
08/03/2017, $62.40 ,"1,612,429",62.59,,,,,,,,,,
09/03/2017, $62.44 ,"1,679,673",62.5525,,,,,,,,,,
10/03/2017, $62.78 ,"2,343,220",62.598,,,,,,,,,,
13/03/2017, $63.02 ,"1,273,661",62.66833333,,,,,,,,Stock Name,Starting Date,End Date
14/03/2017, $62.66 ,"1,780,830",62.66714286,,,,,,,,ACWI,04/03/2017,04/03/2024
15/03/2017, $63.41 ,"3,030,721",62.76,,,,,,,,,,
16/03/2017, $63.54 ,"2,072,296",62.84666667,,,,,,,,,,
17/03/2017, $63.51 ,"1,595,425",62.913,,,,,,,,,,
20/03/2017, $63.52 ,"1,362,889",62.989,,,,,,,,,,
21/03/2017, $62.91 ,"2,535,578",63.019,,,,,,,,,,
22/03/2017, $63.03 ,"1,795,185",63.082,,,,,,,,,,
23/03/2017, $63.06 ,"3,562,818",63.144,,,,,,,,,,
24/03/2017, $63.08 ,"1,503,539",63.174,,,,,,,,,,
27/03/2017, $63.13 ,"1,775,372",63.185,,,,,,,,,,
28/03/2017, $63.41 ,"4,208,000",63.26,,,,,,,,,,
29/03/2017, $63.44 ,"2,474,449",63.263,,,,,,,,,,
30/03/2017, $63.41 ,"1,574,505",63.25,,,,,,,,,,
31/03/2017, $63.26 ,"2,063,422",63.225,,,,,,,,,,
03/04/2017, $63.25 ,"2,034,687",63.198,,,,,,,,,,
04/04/2017, $63.27 ,"1,977,496",63.234,,,,,,,,,,
05/04/2017, $63.10 ,"2,895,768",63.241,,,,,,,,,,
06/04/2017, $63.16 ,"1,652,563",63.251,,,,,,,,,,
07/04/2017, $63.10 ,"952,856",63.253,,,,,,,,,,
10/04/2017, $63.08 ,"1,817,843",63.248,,,,,,,,,,
11/04/2017, $63.16 ,"1,235,229",63.223,,,,,,,,,,
12/04/2017, $63.01 ,"1,185,565",63.18,,,,,,,,,,
13/04/2017, $62.59 ,"1,809,760",63.098,,,,,,,,,,
17/04/2017, $63.08 ,"2,123,583",63.08,,,,,,,,,,
18/04/2017, $62.77 ,"1,750,768",63.032,,,,,,,,,,
19/04/2017, $62.61 ,"976,455",62.966,,,,,,,,,,
20/04/2017, $63.11 ,"1,681,423",62.967,,,,,,,,,,
21/04/2017, $63.02 ,"2,036,292",62.953,,,,,,,,,,
24/04/2017, $63.98 ,"1,944,362",63.041,,,,,,,,,,
25/04/2017, $64.41 ,"2,231,611",63.174,,,,,,,,,,
26/04/2017, $64.28 ,"1,360,933",63.286,,,,,,,,,,
27/04/2017, $64.30 ,"1,897,279",63.415,,,,,,,,,,
28/04/2017, $64.28 ,"1,511,702",63.584,,,,,,,,,,
01/05/2017, $64.45 ,"1,268,517",63.721,,,,,,,,,,
02/05/2017, $64.64 ,"3,350,196",63.908,,,,,,,,,,
03/05/2017, $64.45 ,"938,848",64.092,,,,,,,,,,
04/05/2017, $64.59 ,"703,178",64.24,,,,,,,,,,
05/05/2017, $65.02 ,"1,007,169",64.44,,,,,,,,,,
08/05/2017, $64.89 ,"869,847",64.531,,,,,,,,,,
09/05/2017, $64.87 ,"1,010,099",64.577,,,,,,,,,,
10/05/2017, $65.02 ,"932,069",64.651,,,,,,,,,,
11/05/2017, $64.93 ,"2,738,751",64.714,,,,,,,,,,
12/05/2017, $65.01 ,"967,659",64.787,,,,,,,,,,
15/05/2017, $65.37 ,"1,258,543",64.879,,,,,,,,,,
16/05/2017, $65.49 ,"676,447",64.964,,,,,,,,,,
17/05/2017, $64.50 ,"1,467,821",64.969,,,,,,,,,,
18/05/2017, $64.58 ,"1,974,597",64.968,,,,,,,,,,
19/05/2017, $65.25 ,"1,206,979",64.991,,,,,,,,,,
22/05/2017, $65.51 ,"1,498,813",65.053,,,,,,,,,,
23/05/2017, $65.54 ,"1,682,459",65.12,,,,,,,,,,
24/05/2017, $65.67 ,"962,743",65.185,,,,,,,,,,
25/05/2017, $65.87 ,"1,089,477",65.279,,,,,,,,,,
26/05/2017, $65.83 ,"1,248,617",65.361,,,,,,,,,,
30/05/2017, $65.80 ,"1,226,711",65.404,,,,,,,,,,
31/05/2017, $65.70 ,"1,130,407",65.425,,,,,,,,,,
01/06/2017, $66.24 ,"3,266,895",65.599,,,,,,,,,,
02/06/2017, $66.61 ,"3,152,724",65.802,,,,,,,,,,
05/06/2017, $66.54 ,"1,609,362",65.931,,,,,,,,,,
06/06/2017, $66.37 ,"1,270,530",66.017,,,,,,,,,,
07/06/2017, $66.41 ,"2,328,829",66.104,,,,,,,,,,
08/06/2017, $66.46 ,"1,655,514",66.183,,,,,,,,,,
09/06/2017, $66.23 ,"1,555,575",66.219,,,,,,,,,,
12/06/2017, $66.11 ,"3,059,057",66.247,,,,,,,,,,
13/06/2017, $66.48 ,"850,664",66.315,,,,,,,,,,
14/06/2017, $66.39 ,"1,955,103",66.384,,,,,,,,,,
15/06/2017, $66.03 ,"1,871,044",66.363,,,,,,,,,,
16/06/2017, $66.27 ,"1,534,739",66.329,,,,,,,,,,
19/06/2017, $66.66 ,"1,774,571",66.341,,,,,,,,,,
20/06/2017, $65.41 ,"2,155,128",66.245,,,,,,,,,,
21/06/2017, $65.44 ,"1,116,473",66.148,,,,,,,,,,
22/06/2017, $65.43 ,"2,049,468",66.045,,,,,,,,,,
23/06/2017, $65.54 ,"1,096,858",65.976,,,,,,,,,,
26/06/2017, $65.70 ,"3,644,676",65.935,,,,,,,,,,
27/06/2017, $65.42 ,"1,694,310",65.829,,,,,,,,,,
28/06/2017, $65.93 ,"1,859,099",65.783,,,,,,,,,,
29/06/2017, $65.33 ,"1,690,405",65.713,,,,,,,,,,
30/06/2017, $65.49 ,"3,787,312",65.635,,,,,,,,,,
03/07/2017, $65.57 ,"1,465,488",65.526,,,,,,,,,,
05/07/2017, $65.58 ,"3,957,556",65.543,,,,,,,,,,
06/07/2017, $65.09 ,"2,196,059",65.508,,,,,,,,,,
07/07/2017, $65.34 ,"2,179,170",65.499,,,,,,,,,,
10/07/2017, $65.50 ,"761,857",65.495,,,,,,,,,,
11/07/2017, $65.60 ,"1,039,158",65.485,,,,,,,,,,
12/07/2017, $66.18 ,"1,509,321",65.561,,,,,,,,,,
13/07/2017, $66.33 ,"1,474,734",65.601,,,,,,,,,,
14/07/2017, $66.72 ,"774,239",65.74,,,,,,,,,,
17/07/2017, $66.64 ,"1,197,773",65.855,,,,,,,,,,
18/07/2017, $66.76 ,"2,261,396",65.974,,,,,,,,,,
19/07/2017, $67.13 ,"1,640,273",66.129,,,,,,,,,,
20/07/2017, $67.20 ,"1,669,522",66.34,,,,,,,,,,
21/07/2017, $67.11 ,"880,987",66.517,,,,,,,,,,
24/07/2017, $67.06 ,"1,580,235",66.673,,,,,,,,,,
25/07/2017, $67.20 ,"1,884,252",66.833,,,,,,,,,,
26/07/2017, $67.40 ,"4,450,336",66.955,,,,,,,,,,
27/07/2017, $67.27 ,"1,594,122",67.049,,,,,,,,,,
28/07/2017, $67.20 ,"1,183,302",67.097,,,,,,,,,,
31/07/2017, $67.28 ,"2,577,650",67.161,,,,,,,,,,
01/08/2017, $67.50 ,"2,403,362",67.235,,,,,,,,,,
02/08/2017, $67.54 ,"1,061,917",67.276,,,,,,,,,,
03/08/2017, $67.40 ,"623,105",67.296,,,,,,,,,,
04/08/2017, $67.53 ,"1,141,365",67.338,,,,,,,,,,
07/08/2017, $67.59 ,"917,710",67.391,,,,,,,,,,
08/08/2017, $67.40 ,"859,412",67.411,,,,,,,,,,
09/08/2017, $67.32 ,"606,597",67.403,,,,,,,,,,
10/08/2017, $66.34 ,"1,778,900",67.31,,,,,,,,,,
11/08/2017, $66.35 ,"1,512,242",67.225,,,,,,,,,,
14/08/2017, $66.94 ,"1,033,036",67.191,,,,,,,,,,
15/08/2017, $66.85 ,"871,756",67.126,,,,,,,,,,
16/08/2017, $67.16 ,"1,123,215",67.088,,,,,,,,,,
17/08/2017, $66.28 ,"1,594,091",66.976,,,,,,,,,,
18/08/2017, $66.34 ,"1,434,645",66.857,,,,,,,,,,
21/08/2017, $66.40 ,"1,029,322",66.738,,,,,,,,,,
22/08/2017, $66.94 ,"1,013,732",66.692,,,,,,,,,,
23/08/2017, $66.83 ,"864,596",66.643,,,,,,,,,,
24/08/2017, $66.79 ,"4,048,509",66.688,,,,,,,,,,
25/08/2017, $67.05 ,"989,364",66.758,,,,,,,,,,
28/08/2017, $66.99 ,"748,866",66.763,,,,,,,,,,
29/08/2017, $66.94 ,"1,259,255",66.772,,,,,,,,,,
30/08/2017, $67.14 ,"781,277",66.77,,,,,,,,,,
31/08/2017, $67.55 ,"1,045,138",66.897,,,,,,,,,,
01/09/2017, $67.71 ,"1,675,656",67.034,,,,,,,,,,
05/09/2017, $67.19 ,"4,411,336",67.113,,,,,,,,,,
06/09/2017, $67.50 ,"1,557,244",67.169,,,,,,,,,,
07/09/2017, $67.76 ,"1,050,201",67.262,,,,,,,,,,
08/09/2017, $67.69 ,"610,385",67.352,,,,,,,,,,
11/09/2017, $68.31 ,"961,393",67.478,,,,,,,,,,
12/09/2017, $68.59 ,"1,144,038",67.638,,,,,,,,,,
13/09/2017, $68.41 ,"1,079,885",67.785,,,,,,,,,,
14/09/2017, $68.44 ,"358,160",67.915,,,,,,,,,,
15/09/2017, $68.57 ,"969,765",68.017,,,,,,,,,,
18/09/2017, $68.70 ,"1,256,635",68.116,,,,,,,,,,
19/09/2017, $68.84 ,"1,515,821",68.281,,,,,,,,,,
20/09/2017, $68.87 ,"2,005,014",68.418,,,,,,,,,,
21/09/2017, $68.68 ,"1,264,179",68.51,,,,,,,,,,
22/09/2017, $68.69 ,"951,924",68.61,,,,,,,,,,
25/09/2017, $68.40 ,"4,745,371",68.619,,,,,,,,,,
26/09/2017, $68.26 ,"1,015,271",68.586,,,,,,,,,,
27/09/2017, $68.36 ,"800,959",68.581,,,,,,,,,,
28/09/2017, $68.44 ,"3,610,386",68.581,,,,,,,,,,
29/09/2017, $68.82 ,"2,570,272",68.606,,,,,,,,,,
02/10/2017, $68.90 ,"3,559,123",68.626,,,,,,,,,,
03/10/2017, $69.17 ,"1,349,453",68.659,,,,,,,,,,
04/10/2017, $69.22 ,"1,151,358",68.694,,,,,,,,,,
05/10/2017, $69.49 ,"846,492",68.775,,,,,,,,,,
06/10/2017, $69.40 ,"1,034,141",68.846,,,,,,,,,,
09/10/2017, $69.27 ,"625,746",68.933,,,,,,,,,,
10/10/2017, $69.66 ,"1,088,766",69.073,,,,,,,,,,
11/10/2017, $69.84 ,"1,111,911",69.221,,,,,,,,,,
12/10/2017, $69.83 ,"1,388,590",69.36,,,,,,,,,,
13/10/2017, $70.00 ,"650,225",69.478,,,,,,,,,,
16/10/2017, $70.07 ,"2,709,685",69.595,,,,,,,,,,
17/10/2017, $70.00 ,"1,315,700",69.678,,,,,,,,,,
18/10/2017, $70.11 ,"2,027,387",69.767,,,,,,,,,,
19/10/2017, $70.05 ,"1,260,297",69.823,,,,,,,,,,
20/10/2017, $70.32 ,"1,314,811",69.915,,,,,,,,,,
23/10/2017, $69.98 ,"876,104",69.986,,,,,,,,,,
24/10/2017, $70.02 ,"677,417",70.022,,,,,,,,,,
25/10/2017, $69.77 ,"919,976",70.015,,,,,,,,,,
26/10/2017, $69.75 ,"1,039,296",70.007,,,,,,,,,,
27/10/2017, $70.19 ,"960,147",70.026,,,,,,,,,,
30/10/2017, $70.08 ,"771,110",70.027,,,,,,,,,,
31/10/2017, $70.30 ,"1,247,380",70.057,,,,,,,,,,
01/11/2017, $70.42 ,"1,493,182",70.088,,,,,,,,,,
02/11/2017, $70.52 ,"1,420,131",70.135,,,,,,,,,,
03/11/2017, $70.59 ,"1,157,605",70.162,,,,,,,,,,
06/11/2017, $70.79 ,"764,087",70.243,,,,,,,,,,
07/11/2017, $70.70 ,"1,731,062",70.311,,,,,,,,,,
08/11/2017, $70.84 ,"536,922",70.418,,,,,,,,,,
09/11/2017, $70.50 ,"1,439,858",70.493,,,,,,,,,,
10/11/2017, $70.38 ,"551,290",70.512,,,,,,,,,,
13/11/2017, $70.28 ,"789,814",70.532,,,,,,,,,,
14/11/2017, $70.14 ,"1,108,104",70.516,,,,,,,,,,
15/11/2017, $69.79 ,"1,198,398",70.453,,,,,,,,,,
16/11/2017, $70.49 ,"998,574",70.45,,,,,,,,,,
17/11/2017, $70.38 ,"591,143",70.429,,,,,,,,,,
20/11/2017, $70.52 ,"889,388",70.402,,,,,,,,,,
21/11/2017, $71.06 ,"872,280",70.438,,,,,,,,,,
22/11/2017, $71.15 ,"1,325,808",70.469,,,,,,,,,,
24/11/2017, $71.35 ,"700,580",70.554,,,,,,,,,,
27/11/2017, $71.09 ,"1,098,111",70.625,,,,,,,,,,
28/11/2017, $71.65 ,"1,015,946",70.762,,,,,,,,,,
29/11/2017, $71.38 ,"1,623,774",70.886,,,,,,,,,,
30/11/2017, $71.72 ,"7,719,233",71.079,,,,,,,,,,
01/12/2017, $71.54 ,"6,765,063",71.184,,,,,,,,,,
04/12/2017, $71.36 ,"2,408,823",71.282,,,,,,,,,,
05/12/2017, $71.15 ,"2,596,610",71.345,,,,,,,,,,
06/12/2017, $71.01 ,"1,169,707",71.34,,,,,,,,,,
07/12/2017, $71.20 ,"1,864,701",71.345,,,,,,,,,,
08/12/2017, $71.61 ,"1,167,740",71.371,,,,,,,,,,
11/12/2017, $71.88 ,"5,803,343",71.45,,,,,,,,,,
12/12/2017, $71.88 ,"1,730,996",71.473,,,,,,,,,,
13/12/2017, $72.05 ,"1,855,730",71.54,,,,,,,,,,
14/12/2017, $71.68 ,"2,458,367",71.536,,,,,,,,,,
15/12/2017, $71.97 ,"1,700,748",71.579,,,,,,,,,,
18/12/2017, $72.63 ,"2,077,641",71.706,,,,,,,,,,
19/12/2017, $71.73 ,"1,458,255",71.764,,,,,,,,,,
20/12/2017, $71.68 ,"2,557,568",71.831,,,,,,,,,,
21/12/2017, $71.92 ,"2,240,231",71.903,,,,,,,,,,
22/12/2017, $72.00 ,"1,107,502",71.942,,,,,,,,,,
26/12/2017, $71.92 ,"4,644,217",71.946,,,,,,,,,,
27/12/2017, $72.00 ,"3,342,086",71.958,,,,,,,,,,
28/12/2017, $72.16 ,"1,402,669",71.969,,,,,,,,,,
29/12/2017, $72.09 ,"1,104,417",72.01,,,,,,,,,,
02/01/2018, $72.77 ,"2,086,655",72.09,,,,,,,,,,
03/01/2018, $73.14 ,"3,217,386",72.141,,,,,,,,,,
04/01/2018, $73.65 ,"2,044,202",72.333,,,,,,,,,,
05/01/2018, $74.13 ,"1,595,362",72.578,,,,,,,,,,
08/01/2018, $74.20 ,"1,507,846",72.806,,,,,,,,,,
09/01/2018, $74.29 ,"1,268,218",73.035,,,,,,,,,,
10/01/2018, $74.12 ,"1,193,322",73.255,,,,,,,,,,
11/01/2018, $74.63 ,"1,258,774",73.518,,,,,,,,,,
12/01/2018, $75.20 ,"1,381,953",73.822,,,,,,,,,,
16/01/2018, $75.07 ,"2,940,959",74.12,,,,,,,,,,
17/01/2018, $75.66 ,"2,515,966",74.409,,,,,,,,,,
18/01/2018, $75.56 ,"4,191,903",74.651,,,,,,,,,,
19/01/2018, $75.92 ,"1,318,794",74.878,,,,,,,,,,
22/01/2018, $76.47 ,"1,120,886",75.112,,,,,,,,,,
23/01/2018, $76.71 ,"1,329,168",75.363,,,,,,,,,,
24/01/2018, $76.78 ,"1,696,008",75.612,,,,,,,,,,
25/01/2018, $76.71 ,"2,584,785",75.871,,,,,,,,,,
26/01/2018, $77.54 ,"1,264,313",76.162,,,,,,,,,,
29/01/2018, $76.87 ,"1,684,467",76.329,,,,,,,,,,
30/01/2018, $76.12 ,"2,366,720",76.434,,,,,,,,,,
31/01/2018, $76.20 ,"2,062,082",76.488,,,,,,,,,,
01/02/2018, $76.15 ,"3,227,604",76.547,,,,,,,,,,
02/02/2018, $74.49 ,"7,605,709",76.404,,,,,,,,,,
05/02/2018, $71.53 ,"11,026,075",75.91,,,,,,,,,,
06/02/2018, $73.05 ,"12,874,741",75.544,,,,,,,,,,
