Date,Close,Volume,Average,,,,,,,,,,
06/03/2017, $130.73 ,"12,026,151",130.73,,,,,,,,,,
07/03/2017, $130.51 ,"15,500,945",130.62,,,,,,,,,,
08/03/2017, $130.74 ,"15,776,027",130.66,,,,,,,,,,
09/03/2017, $130.84 ,"20,855,253",130.705,,,,,,,,,,
10/03/2017, $131.39 ,"21,922,601",130.842,,,,,,,,,,
13/03/2017, $131.61 ,"10,731,575",130.97,,,,,,,,Stock Name,Starting Date,End Date
14/03/2017, $131.29 ,"14,019,689",131.0157143,,,,,,,,QQQ,04/03/2017,04/03/2024
15/03/2017, $132.10 ,"22,709,139",131.15125,,,,,,,,,,
16/03/2017, $132.01 ,"18,457,291",131.2466667,,,,,,,,,,
17/03/2017, $131.69 ,"21,234,529",131.291,,,,,,,,,,
20/03/2017, $131.81 ,"10,105,210",131.399,,,,,,,,,,
21/03/2017, $129.81 ,"35,841,897",131.329,,,,,,,,,,
22/03/2017, $130.69 ,"29,177,883",131.324,,,,,,,,,,
23/03/2017, $130.36 ,"20,311,655",131.276,,,,,,,,,,
24/03/2017, $130.63 ,"22,967,566",131.2,,,,,,,,,,
27/03/2017, $130.84 ,"18,472,445",131.123,,,,,,,,,,
28/03/2017, $131.64 ,"23,721,947",131.158,,,,,,,,,,
29/03/2017, $132.25 ,"13,709,968",131.173,,,,,,,,,,
30/03/2017, $132.47 ,"16,092,374",131.219,,,,,,,,,,
31/03/2017, $132.38 ,"19,841,411",131.288,,,,,,,,,,
03/04/2017, $132.30 ,"23,700,310",131.337,,,,,,,,,,
04/04/2017, $132.51 ,"13,400,022",131.607,,,,,,,,,,
05/04/2017, $131.97 ,"32,011,155",131.735,,,,,,,,,,
06/04/2017, $132.04 ,"18,832,193",131.903,,,,,,,,,,
07/04/2017, $131.97 ,"16,743,064",132.037,,,,,,,,,,
10/04/2017, $132.02 ,"15,619,276",132.155,,,,,,,,,,
11/04/2017, $131.45 ,"33,778,359",132.136,,,,,,,,,,
12/04/2017, $130.92 ,"15,955,195",132.003,,,,,,,,,,
13/04/2017, $130.40 ,"23,683,020",131.796,,,,,,,,,,
17/04/2017, $131.48 ,"13,325,508",131.706,,,,,,,,,,
18/04/2017, $131.28 ,"12,841,087",131.604,,,,,,,,,,
19/04/2017, $131.49 ,"17,764,817",131.502,,,,,,,,,,
