Date,Close,Volume,Average,,,,,,,,,,
06/03/2017, $44.05 ,"1,598,520",44.0462,,,,,,,,,,
07/03/2017, $44.14 ,"1,624,591",44.09455,,,,,,,,,,
08/03/2017, $44.25 ,"1,757,120",44.1451,,,,,,,,,,
09/03/2017, $44.33 ,"1,020,655",44.19205,,,,,,,,,,
10/03/2017, $44.84 ,"2,136,390",44.32156,,,,,,,,,,
13/03/2017, $45.18 ,"1,147,646",44.464,,,,,,,,Stock Name,Starting Date,End Date
14/03/2017, $45.04 ,"1,066,801",44.5467,,,,,,,,SOXX,04/03/2017,04/03/2024
15/03/2017, $45.40 ,"1,108,076",44.6533,,,,,,,,,,
16/03/2017, $45.35 ,"932,706",44.73103333,,,,,,,,,,
17/03/2017, $45.45 ,"1,832,247",44.80255,,,,,,,,,,
20/03/2017, $45.78 ,"1,138,148",44.97622,,,,,,,,,,
21/03/2017, $44.71 ,"1,962,889",45.03289,,,,,,,,,,
22/03/2017, $45.18 ,"1,676,290",45.12656,,,,,,,,,,
23/03/2017, $45.08 ,"1,531,767",45.20156,,,,,,,,,,
24/03/2017, $45.29 ,"1,596,006",45.24689,,,,,,,,,,
27/03/2017, $45.36 ,"1,450,076",45.26522,,,,,,,,,,
28/03/2017, $45.50 ,"851,471",45.31122,,,,,,,,,,
29/03/2017, $45.39 ,"1,064,752",45.31056,,,,,,,,,,
30/03/2017, $45.63 ,"831,089",45.33789,,,,,,,,,,
31/03/2017, $45.63 ,"616,542",45.35622,,,,,,,,,,
03/04/2017, $45.34 ,"2,165,001",45.31188,,,,,,,,,,
04/04/2017, $45.11 ,"1,366,837",45.35221,,,,,,,,,,
05/04/2017, $44.80 ,"1,259,397",45.31388,,,,,,,,,,
06/04/2017, $44.87 ,"1,165,442",45.29255,,,,,,,,,,
07/04/2017, $45.06 ,"757,225",45.26955,,,,,,,,,,
10/04/2017, $44.72 ,"810,443",45.20522,,,,,,,,,,
11/04/2017, $44.36 ,"1,602,121",45.09055,,,,,,,,,,
12/04/2017, $43.59 ,"1,704,572",44.91055,,,,,,,,,,
13/04/2017, $43.30 ,"1,309,303",44.67822,,,,,,,,,,
17/04/2017, $43.84 ,"1,330,030",44.49956,,,,,,,,,,
18/04/2017, $44.05 ,"1,325,776",44.37023,,,,,,,,,,
19/04/2017, $44.28 ,"1,701,578",44.28656,,,,,,,,,,
20/04/2017, $44.98 ,"1,669,720",44.30422,,,,,,,,,,
21/04/2017, $44.79 ,"1,922,449",44.29588,,,,,,,,,,
24/04/2017, $45.43 ,"1,482,338",44.33254,,,,,,,,,,
25/04/2017, $45.89 ,"1,270,386",44.45021,,,,,,,,,,
26/04/2017, $45.52 ,"3,504,134",44.56621,,,,,,,,,,
27/04/2017, $46.16 ,"1,099,603",44.82254,,,,,,,,,,
28/04/2017, $45.37 ,"3,133,693",45.0292,,,,,,,,,,
01/05/2017, $45.82 ,"2,065,622",45.22686,,,,,,,,,,
02/05/2017, $45.34 ,"3,398,751",45.35586,,,,,,,,,,
03/05/2017, $45.49 ,"1,144,817",45.47753,,,,,,,,,,
04/05/2017, $45.46 ,"1,219,614",45.52586,,,,,,,,,,
05/05/2017, $45.64 ,"902,211",45.61119,,,,,,,,,,
08/05/2017, $45.46 ,"801,767",45.61419,,,,,,,,,,
