Date,Volume,Close,Average,,,,,,,,,,
06/03/2017,"55,391,533", $237.71 ,237.71,,,,,,,,,,
07/03/2017,"65,103,737", $237.00 ,237.355,,,,,,,,,,
08/03/2017,"78,168,795", $236.56 ,237.09,,,,,,,,,,
09/03/2017,"90,683,918", $236.86 ,237.0325,,,,,,,,,,
10/03/2017,"81,991,652", $237.69 ,237.164,,,,,,,,,,
13/03/2017,"57,256,824", $237.81 ,237.2716667,,,,,,,,Stock Name,Starting Date,End Date
14/03/2017,"59,880,778", $236.90 ,237.2185714,,,,,,,,SPY,04/03/2017,04/03/2024
15/03/2017,"96,081,750", $238.95 ,237.435,,,,,,,,,,
16/03/2017,"78,343,951", $238.48 ,237.5511111,,,,,,,,,,
17/03/2017,"89,002,111", $237.03 ,237.499,,,,,,,,,,
20/03/2017,"52,536,979", $236.77 ,237.405,,,,,,,,,,
21/03/2017,"131,809,275", $233.73 ,237.078,,,,,,,,,,
22/03/2017,"97,569,204", $234.28 ,236.85,,,,,,,,,,
23/03/2017,"100,410,277", $234.03 ,236.567,,,,,,,,,,
24/03/2017,"112,504,853", $233.86 ,236.184,,,,,,,,,,
27/03/2017,"87,454,452", $233.62 ,235.765,,,,,,,,,,
28/03/2017,"93,483,915", $235.32 ,235.607,,,,,,,,,,
29/03/2017,"61,950,354", $235.54 ,235.266,,,,,,,,,,
30/03/2017,"56,737,890", $236.29 ,235.047,,,,,,,,,,
31/03/2017,"73,733,094", $235.74 ,234.918,,,,,,,,,,
03/04/2017,"85,546,486", $235.33 ,234.774,,,,,,,,,,
04/04/2017,"56,466,195", $235.48 ,234.949,,,,,,,,,,
05/04/2017,"108,800,604", $234.78 ,234.999,,,,,,,,,,
06/04/2017,"69,135,757", $235.44 ,235.14,,,,,,,,,,
07/04/2017,"74,412,311", $235.20 ,235.274,,,,,,,,,,
10/04/2017,"67,615,302", $235.34 ,235.446,,,,,,,,,,
11/04/2017,"88,045,276", $235.06 ,235.42,,,,,,,,,,
12/04/2017,"81,864,436", $234.03 ,235.269,,,,,,,,,,
13/04/2017,"92,880,394", $232.51 ,234.891,,,,,,,,,,
17/04/2017,"68,405,367", $234.57 ,234.774,,,,,,,,,,
18/04/2017,"83,225,821", $233.87 ,234.628,,,,,,,,,,
19/04/2017,"68,699,868", $233.44 ,234.424,,,,,,,,,,
20/04/2017,"92,572,186", $235.34 ,234.48,,,,,,,,,,
21/04/2017,"110,389,847", $234.59 ,234.395,,,,,,,,,,
24/04/2017,"119,209,877", $237.17 ,234.592,,,,,,,,,,
25/04/2017,"76,698,265", $238.55 ,234.913,,,,,,,,,,
26/04/2017,"84,702,455", $238.40 ,235.247,,,,,,,,,,
27/04/2017,"57,410,326", $238.60 ,235.704,,,,,,,,,,
28/04/2017,"63,532,845", $238.08 ,236.261,,,,,,,,,,
01/05/2017,"66,882,521", $238.68 ,236.672,,,,,,,,,,
02/05/2017,"57,375,732", $238.77 ,237.162,,,,,,,,,,
03/05/2017,"73,137,731", $238.48 ,237.666,,,,,,,,,,
04/05/2017,"61,462,732", $238.76 ,238.008,,,,,,,,,,
05/05/2017,"62,001,269", $239.70 ,238.519,,,,,,,,,,
08/05/2017,"48,385,730", $239.66 ,238.768,,,,,,,,,,
09/05/2017,"51,363,200", $239.44 ,238.857,,,,,,,,,,
10/05/2017,"54,293,799", $239.87 ,239.004,,,,,,,,,,
11/05/2017,"62,358,346", $239.38 ,239.082,,,,,,,,,,
12/05/2017,"53,912,730", $238.98 ,239.172,,,,,,,,,,
15/05/2017,"61,918,937", $240.30 ,239.334,,,,,,,,,,
16/05/2017,"51,241,791", $240.08 ,239.465,,,,,,,,,,
17/05/2017,"172,174,107", $235.82 ,239.199,,,,,,,,,,
18/05/2017,"107,047,656", $236.77 ,239,,,,,,,,,,
19/05/2017,"115,011,373", $238.31 ,238.861,,,,,,,,,,
22/05/2017,"61,010,602", $239.52 ,238.847,,,,,,,,,,
23/05/2017,"48,341,683", $240.05 ,238.908,,,,,,,,,,
24/05/2017,"49,181,099", $240.61 ,238.982,,,,,,,,,,
25/05/2017,"64,071,661", $241.76 ,239.22,,,,,,,,,,
26/05/2017,"46,629,905", $241.71 ,239.493,,,,,,,,,,
30/05/2017,"35,201,897", $241.50 ,239.613,,,,,,,,,,
31/05/2017,"91,796,016", $241.44 ,239.749,,,,,,,,,,
01/06/2017,"68,962,024", $243.36 ,240.503,,,,,,,,,,
02/06/2017,"88,666,128", $244.17 ,241.243,,,,,,,,,,
05/06/2017,"44,698,825", $243.99 ,241.811,,,,,,,,,,
06/06/2017,"50,375,430", $243.21 ,242.18,,,,,,,,,,
07/06/2017,"54,144,311", $243.66 ,242.541,,,,,,,,,,
08/06/2017,"65,950,691", $243.78 ,242.858,,,,,,,,,,
09/06/2017,"132,256,362", $243.41 ,243.023,,,,,,,,,,
12/06/2017,"86,108,102", $243.36 ,243.188,,,,,,,,,,
13/06/2017,"60,066,953", $244.55 ,243.493,,,,,,,,,,
14/06/2017,"78,602,311", $244.24 ,243.773,,,,,,,,,,
15/06/2017,"66,464,888", $243.77 ,243.814,,,,,,,,,,
16/06/2017,"84,553,097", $242.64 ,243.661,,,,,,,,,,
19/06/2017,"65,123,802", $244.66 ,243.728,,,,,,,,,,
20/06/2017,"56,906,368", $243.01 ,243.708,,,,,,,,,,
21/06/2017,"55,977,569", $242.95 ,243.637,,,,,,,,,,
22/06/2017,"44,148,059", $242.84 ,243.543,,,,,,,,,,
23/06/2017,"66,986,801", $243.13 ,243.515,,,,,,,,,,
26/06/2017,"56,700,477", $243.29 ,243.508,,,,,,,,,,
27/06/2017,"82,247,666", $241.33 ,243.186,,,,,,,,,,
28/06/2017,"70,042,599", $243.49 ,243.111,,,,,,,,,,
